일자,지역,성별,연령,분야,건수
2025-08,부산광역시,여성,50,수자원,7
2025-08,부산광역시,여성,50,외무통일,14
2025-08,부산광역시,여성,50,우정,3
2025-08,부산광역시,여성,50,재정,20
2025-08,부산광역시,여성,50,주택_건축,145
2025-08,부산광역시,여성,50,체육,9
2025-08,부산광역시,여성,50,해양수산,5
2025-08,부산광역시,여성,50,행정_안전,119
2025-08,부산광역시,여성,50,환경,12
2025-08,부산광역시,여성,60,경찰_검찰_법원,135
2025-08,부산광역시,여성,60,과학기술,12
2025-08,부산광역시,여성,60,관광,5
2025-08,부산광역시,여성,60,교육,3
2025-08,부산광역시,여성,60,교통,18
2025-08,부산광역시,여성,60,기타,2
2025-08,부산광역시,여성,60,노동,2
2025-08,부산광역시,여성,60,농림_축산,5
2025-08,부산광역시,여성,60,도로,15
2025-08,부산광역시,여성,60,도시,7
2025-08,부산광역시,여성,60,문화,12
2025-08,부산광역시,여성,60,방송통신,1
2025-08,부산광역시,여성,60,보건,4
2025-08,부산광역시,여성,60,복지,3
2025-08,부산광역시,여성,60,산업_통상,413
2025-08,부산광역시,여성,60,세무,2
2025-08,부산광역시,여성,60,수자원,2
2025-08,부산광역시,여성,60,재정,4
2025-08,부산광역시,여성,60,주택_건축,618
2025-08,부산광역시,여성,60,체육,1
2025-08,부산광역시,여성,60,해양수산,5
2025-08,부산광역시,여성,60,행정_안전,101
2025-08,부산광역시,여성,60,환경,8
2025-08,부산광역시,여성,70,경찰_검찰_법원,3
2025-08,부산광역시,여성,70,과학기술,1
2025-08,부산광역시,여성,70,관광,1
2025-08,부산광역시,여성,70,교통,4
2025-08,부산광역시,여성,70,국방,2
2025-08,부산광역시,여성,70,기타,2
2025-08,부산광역시,여성,70,노동,1
2025-08,부산광역시,여성,70,도로,1
2025-08,부산광역시,여성,70,문화,7
2025-08,부산광역시,여성,70,보건,2
2025-08,부산광역시,여성,70,복지,1
2025-08,부산광역시,여성,70,산업_통상,4
2025-08,부산광역시,여성,70,재정,2
2025-08,부산광역시,여성,70,주택_건축,512
2025-08,부산광역시,여성,70,행정_안전,2
2025-08,부산광역시,여성,70,환경,3
